date,open,high,low,close,volume
2022-02-22 00:00:00+05:30,1888.0,1914.0,1845.0,1869.55,6412
2022-02-23 00:00:00+05:30,1862.15,1923.8,1850.0,1853.5,5683
2022-02-24 00:00:00+05:30,1800.0,1844.0,1485.6,1721.15,16278
2022-02-25 00:00:00+05:30,1879.0,1900.1,1755.75,1837.7,13948
2022-02-28 00:00:00+05:30,1840.65,1873.5,1795.7,1831.6,17830
2022-03-02 00:00:00+05:30,1825.0,1837.95,1760.8,1788.1,12463
2022-03-03 00:00:00+05:30,1789.9,1842.35,1765.05,1810.45,7402
2022-03-04 00:00:00+05:30,1780.0,1850.75,1762.85,1821.4,8901
2022-03-07 00:00:00+05:30,1819.75,1819.75,1721.25,1743.9,9499
2022-03-08 00:00:00+05:30,1811.0,1811.0,1740.0,1752.6,13542
2022-03-09 00:00:00+05:30,1752.5,1812.15,1739.45,1767.65,8256
2022-03-10 00:00:00+05:30,1824.0,1874.0,1796.8,1832.1,9259
2022-03-11 00:00:00+05:30,1815.0,1868.05,1722.2,1802.5,18943
2022-03-14 00:00:00+05:30,1829.55,1829.55,1710.1,1736.15,11880
2022-03-15 00:00:00+05:30,1758.85,1758.85,1695.0,1704.75,19073
2022-03-16 00:00:00+05:30,1729.9,1737.35,1703.45,1708.0,7942
2022-03-17 00:00:00+05:30,1733.6,1750.0,1656.65,1663.7,18488
2022-03-21 00:00:00+05:30,1690.0,1690.0,1625.0,1639.3,20721
2022-03-22 00:00:00+05:30,1665.55,1674.8,1628.0,1644.6,13927
2022-03-23 00:00:00+05:30,1660.0,1673.85,1635.25,1645.0,16566
2022-03-24 00:00:00+05:30,1675.9,1676.0,1596.9,1600.35,18979
2022-03-25 00:00:00+05:30,1600.35,1673.0,1600.35,1643.7,18648
2022-03-28 00:00:00+05:30,1660.0,1678.55,1615.0,1632.15,36768
2022-03-29 00:00:00+05:30,1637.1,1666.2,1555.25,1578.7,17614
2022-03-30 00:00:00+05:30,1598.0,1615.0,1569.0,1571.85,11742
2022-03-31 00:00:00+05:30,1558.5,1698.0,1555.0,1663.2,34930
2022-04-01 00:00:00+05:30,1663.2,1732.45,1657.75,1708.5,13905
2022-04-04 00:00:00+05:30,1721.0,1786.95,1720.15,1776.25,15511
2022-04-05 00:00:00+05:30,1774.8,1825.0,1774.8,1789.5,16811
2022-04-06 00:00:00+05:30,1799.0,1800.0,1750.8,1765.1,6492
2022-04-07 00:00:00+05:30,1788.8,1800.0,1736.4,1744.75,8136
2022-04-08 00:00:00+05:30,1750.0,1800.0,1750.0,1764.4,10010
2022-04-11 00:00:00+05:30,1794.8,1799.9,1664.0,1710.1,16443
2022-04-12 00:00:00+05:30,1704.55,1727.0,1666.5,1705.5,7741
2022-04-13 00:00:00+05:30,1718.0,1720.0,1666.0,1692.7,8095
2022-04-18 00:00:00+05:30,1700.0,1764.65,1690.0,1737.35,29539
2022-04-19 00:00:00+05:30,1763.4,1800.0,1700.0,1760.75,9876
2022-04-20 00:00:00+05:30,1749.05,1800.0,1718.35,1762.5,12602
2022-04-21 00:00:00+05:30,1776.9,1776.9,1720.0,1725.4,9293
2022-04-22 00:00:00+05:30,1726.6,1797.0,1726.6,1767.75,8151
2022-04-25 00:00:00+05:30,1739.0,1760.8,1710.0,1728.8,7934
2022-04-26 00:00:00+05:30,1750.0,1759.45,1712.3,1721.75,4318
2022-04-27 00:00:00+05:30,1701.0,1727.25,1678.0,1709.65,10084
2022-04-28 00:00:00+05:30,1739.0,1754.85,1692.85,1712.65,3821
2022-04-29 00:00:00+05:30,1720.0,1750.0,1681.25,1710.45,12635
2022-05-02 00:00:00+05:30,1681.0,1711.05,1670.0,1680.05,5630
2022-05-04 00:00:00+05:30,1710.0,1750.0,1652.0,1670.45,20071
2022-05-05 00:00:00+05:30,1699.0,1703.3,1612.2,1639.0,5322
2022-05-06 00:00:00+05:30,1610.0,1750.0,1593.2,1727.35,13199
2022-05-09 00:00:00+05:30,1727.35,1809.0,1675.0,1774.8,17854
2022-05-10 00:00:00+05:30,1774.0,1780.0,1670.0,1689.5,7608
2022-05-11 00:00:00+05:30,1685.0,1722.75,1590.0,1696.6,22703
2022-05-12 00:00:00+05:30,1650.0,1709.95,1610.0,1678.25,16208
2022-05-13 00:00:00+05:30,1694.0,1702.95,1633.05,1676.1,9645
2022-05-16 00:00:00+05:30,1670.05,1749.0,1660.55,1733.5,10142
2022-05-17 00:00:00+05:30,1733.0,1744.05,1692.05,1715.25,7073
2022-05-18 00:00:00+05:30,1724.95,1740.0,1681.0,1697.65,38731
2022-05-19 00:00:00+05:30,1690.0,1698.0,1674.0,1686.3,3987
2022-05-20 00:00:00+05:30,1700.0,1729.0,1680.6,1699.8,7215
2022-05-23 00:00:00+05:30,1729.0,1729.0,1649.0,1657.55,7400
2022-05-24 00:00:00+05:30,1670.0,1689.9,1655.1,1668.45,7649
2022-05-25 00:00:00+05:30,1685.0,1717.0,1605.0,1699.6,10339
2022-05-26 00:00:00+05:30,1705.65,1705.65,1625.45,1668.75,6549
2022-05-27 00:00:00+05:30,1699.0,1729.8,1671.25,1703.15,3558
2022-05-30 00:00:00+05:30,1850.0,1850.0,1774.85,1808.75,37721
2022-05-31 00:00:00+05:30,1824.4,1875.0,1823.7,1854.1,27548
2022-06-01 00:00:00+05:30,1861.0,1891.45,1845.2,1873.9,25552
2022-06-02 00:00:00+05:30,1874.05,1874.05,1822.35,1847.85,26844
2022-06-03 00:00:00+05:30,1848.0,2041.0,1848.0,1968.6,73265
2022-06-06 00:00:00+05:30,1984.0,2010.0,1901.6,1936.2,47415
2022-06-07 00:00:00+05:30,1925.0,1957.45,1905.05,1936.3,8555
2022-06-08 00:00:00+05:30,1940.0,2000.0,1867.3,1893.95,26841
2022-06-09 00:00:00+05:30,1893.95,1917.65,1861.25,1902.6,9350
2022-06-10 00:00:00+05:30,1874.05,1970.0,1874.05,1947.6,15520
2022-06-13 00:00:00+05:30,1930.0,1930.0,1820.0,1867.75,8537
2022-06-14 00:00:00+05:30,1895.0,1906.0,1840.0,1852.6,4584
2022-06-15 00:00:00+05:30,1852.75,1928.8,1852.75,1901.4,9465
2022-06-16 00:00:00+05:30,1929.9,1930.0,1765.2,1784.9,14008
2022-06-17 00:00:00+05:30,1770.0,1784.2,1732.9,1776.8,8132
2022-06-20 00:00:00+05:30,1800.0,1845.1,1727.0,1742.2,30227
2022-06-21 00:00:00+05:30,1760.0,1824.95,1735.45,1815.2,17628
2022-06-22 00:00:00+05:30,1814.8,1814.8,1750.0,1775.6,5126
2022-06-23 00:00:00+05:30,1807.0,1808.0,1745.95,1762.7,4882
2022-06-24 00:00:00+05:30,1815.0,1815.0,1751.55,1773.4,9636
2022-06-27 00:00:00+05:30,1788.0,1832.3,1777.75,1796.3,8992
2022-06-28 00:00:00+05:30,1819.0,1819.0,1727.3,1766.0,9501
2022-06-29 00:00:00+05:30,1772.95,1785.6,1750.65,1755.85,5635
2022-06-30 00:00:00+05:30,1775.9,1792.9,1745.85,1753.65,3807
2022-07-01 00:00:00+05:30,1767.45,1770.0,1733.05,1756.0,3617
2022-07-04 00:00:00+05:30,1775.0,1800.0,1762.0,1773.35,5246
2022-07-05 00:00:00+05:30,1775.1,1820.0,1754.85,1776.8,5767
2022-07-06 00:00:00+05:30,1794.0,1800.0,1764.65,1794.1,3837
2022-07-07 00:00:00+05:30,1794.3,1833.05,1780.9,1808.85,5577
2022-07-08 00:00:00+05:30,1809.1,1834.55,1771.8,1791.9,13009
2022-07-11 00:00:00+05:30,1771.0,1850.0,1771.0,1838.9,27402
2022-07-12 00:00:00+05:30,1811.3,1836.55,1792.1,1802.05,5805
2022-07-13 00:00:00+05:30,1828.0,1828.0,1735.05,1803.35,5984
2022-07-14 00:00:00+05:30,1799.0,1875.5,1797.65,1836.7,65922
2022-07-15 00:00:00+05:30,1864.25,1874.95,1820.0,1835.2,9591
2022-07-18 00:00:00+05:30,1851.55,1890.0,1851.55,1867.05,9857
2022-07-19 00:00:00+05:30,1877.15,1913.0,1855.0,1878.85,5970
2022-07-20 00:00:00+05:30,1916.35,1923.0,1861.0,1876.65,5378
2022-07-21 00:00:00+05:30,1880.0,1910.0,1850.0,1877.5,10312
2022-07-22 00:00:00+05:30,1898.95,1907.45,1868.1,1873.1,5325
2022-07-25 00:00:00+05:30,1890.0,1894.95,1820.0,1858.35,3929
2022-07-26 00:00:00+05:30,1876.95,1876.95,1830.0,1834.05,3536
2022-07-27 00:00:00+05:30,1852.4,1868.0,1821.0,1845.6,3818
2022-07-28 00:00:00+05:30,1864.05,1890.0,1832.4,1847.3,67665
2022-07-29 00:00:00+05:30,1865.75,1868.75,1790.0,1825.15,18282
2022-08-01 00:00:00+05:30,1843.0,1891.35,1827.75,1861.95,5953
2022-08-02 00:00:00+05:30,1887.0,1887.0,1847.0,1852.95,12590
2022-08-03 00:00:00+05:30,1832.25,1837.0,1729.75,1801.4,37644
2022-08-04 00:00:00+05:30,1801.4,1880.0,1773.0,1798.4,24654
2022-08-05 00:00:00+05:30,1795.0,1819.95,1768.0,1799.1,28039
2022-08-08 00:00:00+05:30,1800.0,1819.8,1741.25,1752.35,17834
2022-08-10 00:00:00+05:30,1752.5,1769.0,1671.65,1707.35,38993
2022-08-11 00:00:00+05:30,1708.15,1808.95,1702.05,1768.75,22208
2022-08-12 00:00:00+05:30,1786.45,1789.95,1752.25,1757.65,8232
2022-08-16 00:00:00+05:30,1757.65,1825.0,1757.65,1794.7,29561
2022-08-17 00:00:00+05:30,1815.0,1815.0,1770.25,1778.25,9032
2022-08-18 00:00:00+05:30,1780.0,1830.0,1777.1,1786.65,30076
2022-08-19 00:00:00+05:30,1792.0,1795.45,1752.0,1759.85,8973
2022-08-22 00:00:00+05:30,1760.0,1785.0,1744.25,1762.6,5058
2022-08-23 00:00:00+05:30,1777.0,1793.7,1720.0,1785.25,6066
2022-08-24 00:00:00+05:30,1785.25,1814.95,1741.0,1796.3,23789
2022-08-25 00:00:00+05:30,1800.0,1828.0,1787.0,1798.1,5690
2022-08-26 00:00:00+05:30,1811.85,1811.85,1761.6,1774.0,17132
2022-08-29 00:00:00+05:30,1765.0,1837.95,1744.0,1813.5,56284
2022-08-30 00:00:00+05:30,1850.0,1970.0,1840.25,1917.85,76238
2022-09-01 00:00:00+05:30,1915.0,2034.2,1912.0,2011.8,84225
2022-09-02 00:00:00+05:30,2043.95,2057.95,2007.0,2027.15,42396
2022-09-05 00:00:00+05:30,2034.0,2103.0,2030.0,2096.0,42224
2022-09-06 00:00:00+05:30,2099.95,2125.0,2029.95,2082.35,19690
2022-09-07 00:00:00+05:30,2073.0,2125.0,2022.35,2040.95,24564
2022-09-08 00:00:00+05:30,2070.0,2080.0,1965.55,2004.6,27518
2022-09-09 00:00:00+05:30,2006.0,2213.95,2000.1,2188.0,56304
2022-09-12 00:00:00+05:30,2222.9,2239.0,2165.55,2189.15,38370
2022-09-13 00:00:00+05:30,2201.0,2261.0,2152.25,2226.2,57520
2022-09-14 00:00:00+05:30,2186.1,2345.0,2168.4,2242.55,62894
2022-09-15 00:00:00+05:30,2242.0,2299.0,2222.2,2236.4,24584
2022-09-16 00:00:00+05:30,2230.0,2249.95,2112.25,2137.05,27831
