date,open,high,low,close,volume
2019-11-11 00:00:00+05:30,131.65,131.65,120.0,125.4,7377
2019-11-13 00:00:00+05:30,125.35,127.65,122.0,124.5,14349
2019-11-14 00:00:00+05:30,124.7,126.15,123.0,123.65,25872
2019-11-15 00:00:00+05:30,125.65,125.65,118.4,118.95,24033
2019-11-18 00:00:00+05:30,122.45,125.0,118.3,123.55,22347
2019-11-19 00:00:00+05:30,125.0,125.0,120.0,121.95,17475
2019-11-20 00:00:00+05:30,123.95,124.0,118.7,120.55,26844
2019-11-21 00:00:00+05:30,119.35,121.8,118.7,119.55,6123
2019-11-22 00:00:00+05:30,119.55,123.35,118.35,121.9,17523
2019-11-25 00:00:00+05:30,120.65,121.65,115.0,116.25,47706
2019-11-26 00:00:00+05:30,118.35,118.35,113.35,115.15,36459
2019-11-27 00:00:00+05:30,114.0,116.65,113.3,113.9,18744
2019-11-28 00:00:00+05:30,113.65,116.5,113.3,115.65,7002
2019-11-29 00:00:00+05:30,117.8,117.8,113.55,115.35,8844
2019-12-02 00:00:00+05:30,118.0,118.0,113.4,115.6,4503
2019-12-03 00:00:00+05:30,114.35,116.35,111.75,113.35,8133
2019-12-04 00:00:00+05:30,113.35,116.0,111.65,115.05,16026
2019-12-05 00:00:00+05:30,113.5,116.65,113.4,115.3,4557
2019-12-06 00:00:00+05:30,118.3,118.3,111.05,113.7,16614
2019-12-09 00:00:00+05:30,116.3,116.3,110.65,111.7,21603
2019-12-10 00:00:00+05:30,112.0,112.45,109.0,111.0,19377
2019-12-11 00:00:00+05:30,113.35,113.35,108.35,110.95,19710
2019-12-12 00:00:00+05:30,111.65,114.0,109.95,113.15,11616
2019-12-13 00:00:00+05:30,111.75,117.15,111.75,116.3,13458
2019-12-16 00:00:00+05:30,117.85,117.85,110.4,114.0,34830
2019-12-17 00:00:00+05:30,114.4,115.15,112.0,113.35,10476
2019-12-18 00:00:00+05:30,112.65,115.65,110.45,111.9,23346
2019-12-19 00:00:00+05:30,112.0,114.65,111.35,114.1,15684
2019-12-20 00:00:00+05:30,114.8,115.5,112.5,113.15,8559
2019-12-23 00:00:00+05:30,112.5,116.25,111.65,113.15,9645
2019-12-24 00:00:00+05:30,111.7,114.0,110.65,111.15,17421
2019-12-26 00:00:00+05:30,110.65,119.15,110.65,116.95,20514
2019-12-27 00:00:00+05:30,118.0,118.0,113.0,114.4,14895
2019-12-30 00:00:00+05:30,114.35,116.95,114.0,114.75,7767
2019-12-31 00:00:00+05:30,114.35,119.0,113.65,115.25,17148
2020-01-01 00:00:00+05:30,115.35,115.65,114.0,114.75,13536
2020-01-02 00:00:00+05:30,116.55,122.65,115.35,119.3,70311
2020-01-03 00:00:00+05:30,115.0,121.35,114.05,116.85,11859
2020-01-06 00:00:00+05:30,112.4,116.7,112.4,115.65,15537
2020-01-07 00:00:00+05:30,118.15,118.15,114.05,117.4,16611
2020-01-08 00:00:00+05:30,116.05,117.65,114.5,116.7,33108
2020-01-09 00:00:00+05:30,121.35,121.35,116.7,118.3,9870
2020-01-10 00:00:00+05:30,119.0,124.35,117.85,122.15,102147
2020-01-13 00:00:00+05:30,123.25,128.35,122.3,126.25,37917
2020-01-14 00:00:00+05:30,126.25,132.4,117.45,130.6,82977
2020-01-15 00:00:00+05:30,131.65,132.9,128.15,131.7,26430
2020-01-16 00:00:00+05:30,133.0,133.0,127.05,131.65,26529
2020-01-17 00:00:00+05:30,131.95,136.3,128.15,130.85,36825
2020-01-20 00:00:00+05:30,130.85,134.95,127.45,132.05,28248
2020-01-21 00:00:00+05:30,130.85,135.65,129.45,131.5,30216
2020-01-22 00:00:00+05:30,134.65,134.65,129.0,130.05,19761
2020-01-23 00:00:00+05:30,133.3,135.35,129.1,134.15,38640
2020-01-24 00:00:00+05:30,134.65,135.0,130.5,133.95,163119
2020-01-27 00:00:00+05:30,133.95,135.0,128.65,131.55,34350
2020-01-28 00:00:00+05:30,131.65,147.35,129.35,134.2,33627
2020-01-29 00:00:00+05:30,139.35,139.35,133.35,135.35,50232
2020-01-30 00:00:00+05:30,135.35,136.65,130.2,134.0,53718
2020-01-31 00:00:00+05:30,136.65,136.65,131.65,132.6,8184
2020-02-01 00:00:00+05:30,132.6,133.65,123.4,129.8,32793
2020-02-03 00:00:00+05:30,133.0,133.0,127.0,129.7,14832
2020-02-04 00:00:00+05:30,135.0,135.3,128.35,133.05,34212
2020-02-05 00:00:00+05:30,136.65,140.35,135.0,137.0,137634
2020-02-06 00:00:00+05:30,138.3,140.8,136.1,139.2,80646
2020-02-07 00:00:00+05:30,140.35,144.35,137.0,143.45,41706
2020-02-10 00:00:00+05:30,143.45,172.1,142.5,168.9,428823
2020-02-11 00:00:00+05:30,171.6,175.0,147.0,162.4,131688
2020-02-12 00:00:00+05:30,162.65,162.65,150.05,154.85,61041
2020-02-13 00:00:00+05:30,154.6,160.85,152.95,158.35,22683
